#branch_name branch_num bus_from bus_to r(pu)       x(pu)
1 1 1 2 0.0035 0.0411
2 2 1 39 0.001 0.025
3 3 2 3 0.0013 0.0151
4 4 2 25 0.007 0.0086
5 5 2 30 0 0.0181
6 6 3 4 0.0013 0.0213
7 7 3 18 0.0011 0.0133
8 8 4 5 0.0008 0.0128
9 9 4 14 0.0008 0.0129
10 10 5 6 0.0002 0.0026
11 11 5 8 0.0008 0.0112
12 12 6 7 0.0006 0.0092
13 13 6 11 0.0007 0.0082
14 14 6 31 0 0.025
15 15 7 8 0.0004 0.0046
16 16 8 9 0.0023 0.0363
17 17 9 39 0.001 0.025
18 18 10 11 0.0004 0.0043
19 19 10 13 0.0004 0.0043
20 20 10 32 0 0.02
21 21 12 11 0.0016 0.0435
22 22 12 13 0.0016 0.0435
23 23 13 14 0.0009 0.0101
24 24 14 15 0.0018 0.0217
25 25 15 16 0.0009 0.0094
26 26 16 17 0.0007 0.0089
27 27 16 19 0.0016 0.0195
28 28 16 21 0.0008 0.0135
29 29 16 24 0.0003 0.0059
30 30 17 18 0.0007 0.0082
31 31 17 27 0.0013 0.0173
32 32 19 20 0.0007 0.0138
33 33 19 33 0.0007 0.0142
34 34 20 34 0.0009 0.018
35 35 21 22 0.0008 0.014
36 36 22 23 0.0006 0.0096
37 37 22 35 0 0.0143
38 38 23 24 0.0022 0.035
39 39 23 36 0.0005 0.0272
40 40 25 26 0.0032 0.0323
41 41 25 37 0.0006 0.0232
42 42 26 27 0.0014 0.0147
43 43 26 28 0.0043 0.0474
44 44 26 29 0.0057 0.0625
45 45 28 29 0.0014 0.0151
46 46 29 38 0.0008 0.0156
