gen;TS;S;is_imp;p_imp;p0;
brighton;2015-01-01T11:00:00;S4;false;0.000000;0.000000
alta;2015-01-01T11:00:00;S3;false;0.000000;0.000000
sundance;2015-01-01T11:00:00;S1;false;0.000000;0.000000
solitude;2015-01-01T11:00:00;S1;false;550.000000;550.000000
alta;2015-01-01T11:00:00;S1;false;0.000000;0.000000
brighton;2015-01-01T11:00:00;S5;false;0.000000;0.000000
alta;2015-01-01T11:00:00;S5;false;0.000000;0.000000
sundance;2015-01-01T11:00:00;S2;false;0.000000;0.000000
brighton;2015-01-01T11:00:00;S2;false;0.000000;0.000000
alta;2015-01-01T11:00:00;S2;false;0.000000;0.000000
park_city;2015-01-01T11:00:00;S3;false;0.000000;0.000000
sundance;2015-01-01T11:00:00;S3;false;0.000000;0.000000
solitude;2015-01-01T11:00:00;S3;false;550.000000;550.000000
solitude;2015-01-01T11:00:00;S2;false;550.000000;550.000000
solitude;2015-01-01T11:00:00;S4;false;550.000000;550.000000
park_city;2015-01-01T11:00:00;S5;false;0.000000;0.000000
park_city;2015-01-01T11:00:00;S2;false;0.000000;0.000000
alta;2015-01-01T11:00:00;S4;false;0.000000;0.000000
sundance;2015-01-01T11:00:00;S4;false;0.000000;0.000000
brighton;2015-01-01T11:00:00;S1;false;0.000000;0.000000
sundance;2015-01-01T11:00:00;S5;false;0.000000;0.000000
park_city;2015-01-01T11:00:00;S1;false;0.000000;0.000000
solitude;2015-01-01T11:00:00;S5;false;550.000000;550.000000
park_city;2015-01-01T11:00:00;S4;false;0.000000;0.000000
brighton;2015-01-01T11:00:00;S3;false;0.000000;0.000000
