#bus_name bus_num cc
7351 7351 0
5441 5441 0
4314 4314 0
7571 7571 0
5803 5803 0
3916 3916 0
6757 6757 0
6036 6036 0
6921 6921 0
5019 5019 0
9112 9112 0
2930 2930 0
1436 1436 0
1851 1851 0
8331 8331 0
6220 6220 0
8791 8791 0
9203 9203 0
7842 7842 0
8997 8997 0
2129 2129 0
29 29 0
118 118 0
8903 8903 0
4598 4598 0
2426 2426 0
5533 5533 0
4831 4831 0
8961 8961 0
8522 8522 0
6888 6888 0
3401 3401 0
641 641 0
2600 2600 0
5351 5351 0
3051 3051 0
718 718 0
3036 3036 0
2327 2327 0
8651 8651 0
7473 7473 0
903 903 0
3654 3654 0
8732 8732 0
7050 7050 0
3912 3912 0
2273 2273 0
1973 1973 0
5131 5131 0
2928 2928 0
6629 6629 0
4918 4918 0
7309 7309 0
413 413 0
1102 1102 0
3248 3248 0
4281 4281 0
1146 1146 0
1187 1187 0
7945 7945 0
8900 8900 0
2421 2421 0
6071 6071 0
2972 2972 0
6031 6031 0
3293 3293 0
7264 7264 0
283 283 0
3069 3069 0
3390 3390 0
4689 4689 0
4936 4936 0
3218 3218 0
7809 7809 0
5455 5455 0
1857 1857 0
6806 6806 0
5410 5410 0
1609 1609 0
2438 2438 0
954 954 0
9140 9140 0
502 502 0
3013 3013 0
2949 2949 0
7070 7070 0
2208 2208 0
8060 8060 0
4484 4484 0
4239 4239 0
8535 8535 0
7047 7047 0
5477 5477 0
3657 3657 0
3145 3145 0
2918 2918 0
7770 7770 0
5317 5317 0
3 3 0
8676 8676 0
8189 8189 0
7267 7267 0
2938 2938 0
3918 3918 0
6581 6581 0
3830 3830 0
5648 5648 0
4907 4907 0
5957 5957 0
5233 5233 0
6854 6854 0
8311 8311 0
3680 3680 0
2770 2770 0
8804 8804 0
9241 9241 0
3083 3083 0
7124 7124 0
8873 8873 0
1566 1566 0
7582 7582 0
3541 3541 0
8683 8683 0
3698 3698 0
2801 2801 0
8328 8328 0
8511 8511 0
6570 6570 0
8975 8975 0
216 216 0
2961 2961 0
6773 6773 0
5278 5278 0
3768 3768 0
2751 2751 0
2276 2276 0
5546 5546 0
6816 6816 0
7766 7766 0
444 444 0
5334 5334 0
839 839 0
809 809 0
4506 4506 0
2286 2286 0
6802 6802 0
3520 3520 0
7273 7273 0
6271 6271 0
1435 1435 0
7148 7148 0
7437 7437 0
6104 6104 0
871 871 0
7580 7580 0
1188 1188 0
1539 1539 0
8515 8515 0
3971 3971 0
4084 4084 0
6845 6845 0
5340 5340 0
8294 8294 0
5814 5814 0
7115 7115 0
6807 6807 0
619 619 0
6791 6791 0
5418 5418 0
4908 4908 0
5120 5120 0
6692 6692 0
9158 9158 0
8035 8035 0
3445 3445 0
2848 2848 0
7056 7056 0
1642 1642 0
4594 4594 0
6114 6114 0
1692 1692 0
8190 8190 0
5836 5836 0
3191 3191 0
5300 5300 0
4889 4889 0
4747 4747 0
7982 7982 0
9011 9011 0
6675 6675 0
6909 6909 0
8835 8835 0
4186 4186 0
1604 1604 0
2842 2842 0
1354 1354 0
513 513 0
891 891 0
3697 3697 0
8312 8312 0
7541 7541 0
6306 6306 0
4826 4826 0
4418 4418 0
1605 1605 0
6952 6952 0
9128 9128 0
217 217 0
7014 7014 0
720 720 0
5350 5350 0
1711 1711 0
639 639 0
9130 9130 0
8209 8209 0
1998 1998 0
7974 7974 0
1035 1035 0
8180 8180 0
7466 7466 0
305 305 0
5106 5106 0
2527 2527 0
8466 8466 0
8669 8669 0
8893 8893 0
6206 6206 0
7691 7691 0
6624 6624 0
3240 3240 0
8158 8158 0
8795 8795 0
4143 4143 0
2797 2797 0
6331 6331 0
6384 6384 0
7523 7523 0
2889 2889 0
6887 6887 0
1249 1249 0
4541 4541 0
819 819 0
2304 2304 0
4353 4353 0
4816 4816 0
9174 9174 0
6246 6246 0
5658 5658 0
2924 2924 0
3645 3645 0
59 59 0
5764 5764 0
2360 2360 0
6510 6510 0
9033 9033 0
5918 5918 0
1275 1275 0
2850 2850 0
6426 6426 0
4110 4110 0
3558 3558 0
1758 1758 0
2816 2816 0
352 352 0
1923 1923 0
5837 5837 0
3577 3577 0
8030 8030 0
1794 1794 0
7808 7808 0
4615 4615 0
171 171 0
3137 3137 0
2341 2341 0
8787 8787 0
6252 6252 0
9137 9137 0
7133 7133 0
8361 8361 0
4355 4355 0
609 609 0
1341 1341 0
5419 5419 0
2079 2079 0
772 772 0
1355 1355 0
7282 7282 0
2197 2197 0
7640 7640 0
1081 1081 0
2359 2359 0
4196 4196 0
5856 5856 0
8546 8546 0
5987 5987 0
8005 8005 0
3925 3925 0
3324 3324 0
4748 4748 0
8265 8265 0
6151 6151 0
6313 6313 0
4005 4005 0
6532 6532 0
2177 2177 0
5723 5723 0
789 789 0
9189 9189 0
3400 3400 0
207 207 0
7791 7791 0
3205 3205 0
6735 6735 0
666 666 0
4435 4435 0
1644 1644 0
3483 3483 0
4683 4683 0
7989 7989 0
6516 6516 0
7697 7697 0
416 416 0
2847 2847 0
2563 2563 0
2995 2995 0
5691 5691 0
1001 1001 0
4426 4426 0
2721 2721 0
2361 2361 0
5179 5179 0
2044 2044 0
4197 4197 0
5522 5522 0
5699 5699 0
8670 8670 0
5110 5110 0
7222 7222 0
4402 4402 0
3817 3817 0
6857 6857 0
2732 2732 0
4550 4550 0
4339 4339 0
7513 7513 0
5016 5016 0
26 26 0
9213 9213 0
6112 6112 0
9002 9002 0
6231 6231 0
883 883 0
5738 5738 0
8860 8860 0
7700 7700 0
5990 5990 0
6450 6450 0
7726 7726 0
2489 2489 0
3985 3985 0
6376 6376 0
4829 4829 0
7857 7857 0
2806 2806 0
9012 9012 0
2231 2231 0
658 658 0
3793 3793 0
8497 8497 0
3502 3502 0
44 44 0
5944 5944 0
8808 8808 0
3183 3183 0
1005 1005 0
1448 1448 0
6636 6636 0
9051 9051 0
9109 9109 0
6961 6961 0
8818 8818 0
5077 5077 0
7471 7471 0
5241 5241 0
8200 8200 0
549 549 0
6290 6290 0
2291 2291 0
3656 3656 0
5002 5002 0
4144 4144 0
1888 1888 0
5490 5490 0
4970 4970 0
5461 5461 0
7778 7778 0
6897 6897 0
3075 3075 0
