#bus_name bus_num cc
5147 5147 0
3097 3097 0
8763 8763 0
427 427 0
5425 5425 0
4704 4704 0
5960 5960 0
7431 7431 0
3186 3186 0
4481 4481 0
5205 5205 0
7833 7833 0
7770 7770 0
5773 5773 0
6542 6542 0
7840 7840 0
5214 5214 0
2971 2971 0
6069 6069 0
3445 3445 0
7561 7561 0
8825 8825 0
7556 7556 0
7058 7058 0
4324 4324 0
132 132 0
2962 2962 0
4393 4393 0
5044 5044 0
693 693 0
7860 7860 0
6883 6883 0
6494 6494 0
4945 4945 0
6080 6080 0
7146 7146 0
7388 7388 0
4735 4735 0
5239 5239 0
3145 3145 0
3615 3615 0
8731 8731 0
6246 6246 0
2549 2549 0
7829 7829 0
4951 4951 0
7004 7004 0
3370 3370 0
8381 8381 0
4795 4795 0
5562 5562 0
3409 3409 0
1716 1716 0
1000 1000 0
6145 6145 0
6060 6060 0
5289 5289 0
7965 7965 0
4363 4363 0
4507 4507 0
425 425 0
7526 7526 0
5674 5674 0
4799 4799 0
8581 8581 0
4337 4337 0
4968 4968 0
2154 2154 0
1747 1747 0
7699 7699 0
1689 1689 0
659 659 0
9024 9024 0
4929 4929 0
1815 1815 0
1445 1445 0
6833 6833 0
2268 2268 0
7180 7180 0
6293 6293 0
1968 1968 0
9192 9192 0
3493 3493 0
955 955 0
228 228 0
6826 6826 0
8964 8964 0
5776 5776 0
8574 8574 0
1616 1616 0
1163 1163 0
9064 9064 0
8921 8921 0
2299 2299 0
4423 4423 0
7563 7563 0
4427 4427 0
8335 8335 0
5155 5155 0
271 271 0
2449 2449 0
4665 4665 0
4495 4495 0
5587 5587 0
4586 4586 0
2870 2870 0
1037 1037 0
5210 5210 0
7762 7762 0
2520 2520 0
89 89 0
1317 1317 0
8605 8605 0
1367 1367 0
1676 1676 0
7051 7051 0
913 913 0
2107 2107 0
5996 5996 0
6704 6704 0
2441 2441 0
3506 3506 0
2908 2908 0
8329 8329 0
9239 9239 0
7960 7960 0
6233 6233 0
5416 5416 0
6798 6798 0
792 792 0
3279 3279 0
7279 7279 0
2267 2267 0
7637 7637 0
2168 2168 0
3659 3659 0
5762 5762 0
3242 3242 0
5097 5097 0
1611 1611 0
8181 8181 0
8179 8179 0
9025 9025 0
5509 5509 0
4014 4014 0
1579 1579 0
1531 1531 0
5848 5848 0
8847 8847 0
8229 8229 0
317 317 0
8420 8420 0
6561 6561 0
1294 1294 0
1666 1666 0
4096 4096 0
4717 4717 0
4241 4241 0
7395 7395 0
5873 5873 0
1479 1479 0
1475 1475 0
2248 2248 0
264 264 0
8530 8530 0
3744 3744 0
4806 4806 0
6239 6239 0
5991 5991 0
8671 8671 0
201 201 0
3512 3512 0
1430 1430 0
5592 5592 0
4953 4953 0
2355 2355 0
4510 4510 0
2957 2957 0
6936 6936 0
5697 5697 0
5933 5933 0
6040 6040 0
5189 5189 0
2917 2917 0
6654 6654 0
6679 6679 0
7139 7139 0
6134 6134 0
7413 7413 0
6456 6456 0
2358 2358 0
1638 1638 0
8571 8571 0
8247 8247 0
5787 5787 0
1393 1393 0
6243 6243 0
8338 8338 0
751 751 0
8285 8285 0
4293 4293 0
7392 7392 0
6632 6632 0
930 930 0
4407 4407 0
7834 7834 0
6596 6596 0
1418 1418 0
3633 3633 0
7820 7820 0
2921 2921 0
6093 6093 0
3487 3487 0
8353 8353 0
6904 6904 0
6625 6625 0
6261 6261 0
1872 1872 0
7973 7973 0
4651 4651 0
710 710 0
6499 6499 0
3792 3792 0
2193 2193 0
6717 6717 0
4752 4752 0
7644 7644 0
6769 6769 0
7075 7075 0
8213 8213 0
2507 2507 0
6917 6917 0
3095 3095 0
2951 2951 0
1898 1898 0
1498 1498 0
1280 1280 0
4279 4279 0
2343 2343 0
5946 5946 0
2236 2236 0
3821 3821 0
1173 1173 0
2946 2946 0
3065 3065 0
4124 4124 0
3378 3378 0
4809 4809 0
4750 4750 0
6663 6663 0
5217 5217 0
4855 4855 0
509 509 0
9162 9162 0
6964 6964 0
7002 7002 0
6879 6879 0
8870 8870 0
8504 8504 0
2730 2730 0
7508 7508 0
385 385 0
3650 3650 0
8858 8858 0
4856 4856 0
1618 1618 0
1060 1060 0
8806 8806 0
8547 8547 0
6669 6669 0
7398 7398 0
8124 8124 0
2496 2496 0
8419 8419 0
5125 5125 0
2916 2916 0
8973 8973 0
2471 2471 0
8888 8888 0
4906 4906 0
3076 3076 0
4182 4182 0
2235 2235 0
42 42 0
5919 5919 0
2096 2096 0
6292 6292 0
6127 6127 0
2658 2658 0
5191 5191 0
929 929 0
1175 1175 0
1344 1344 0
1421 1421 0
709 709 0
4652 4652 0
3587 3587 0
8159 8159 0
3798 3798 0
2261 2261 0
7755 7755 0
7287 7287 0
6496 6496 0
5372 5372 0
807 807 0
8582 8582 0
3193 3193 0
7053 7053 0
2764 2764 0
1133 1133 0
2301 2301 0
3427 3427 0
8575 8575 0
4644 4644 0
1086 1086 0
2849 2849 0
1458 1458 0
2459 2459 0
477 477 0
8210 8210 0
3113 3113 0
8987 8987 0
4450 4450 0
1501 1501 0
1185 1185 0
706 706 0
1240 1240 0
3500 3500 0
8871 8871 0
6359 6359 0
6783 6783 0
6454 6454 0
8438 8438 0
4253 4253 0
7196 7196 0
4230 4230 0
1912 1912 0
6315 6315 0
621 621 0
4360 4360 0
808 808 0
4958 4958 0
2642 2642 0
5823 5823 0
1947 1947 0
3966 3966 0
1074 1074 0
4165 4165 0
6659 6659 0
7303 7303 0
1793 1793 0
2668 2668 0
4663 4663 0
6443 6443 0
519 519 0
595 595 0
3291 3291 0
6138 6138 0
7504 7504 0
2896 2896 0
5280 5280 0
8534 8534 0
5121 5121 0
9039 9039 0
3961 3961 0
4238 4238 0
1411 1411 0
5793 5793 0
976 976 0
1549 1549 0
4600 4600 0
2800 2800 0
1600 1600 0
8186 8186 0
4011 4011 0
5771 5771 0
9216 9216 0
1409 1409 0
6597 6597 0
6836 6836 0
15 15 0
429 429 0
6132 6132 0
6660 6660 0
1439 1439 0
649 649 0
8417 8417 0
5435 5435 0
4058 4058 0
5617 5617 0
9055 9055 0
1471 1471 0
8396 8396 0
7925 7925 0
4542 4542 0
8337 8337 0
3544 3544 0
7510 7510 0
2907 2907 0
4338 4338 0
1282 1282 0
7795 7795 0
3382 3382 0
5409 5409 0
8352 8352 0
797 797 0
8207 8207 0
1241 1241 0
2416 2416 0
5042 5042 0
179 179 0
9001 9001 0
5463 5463 0
445 445 0
2538 2538 0
6397 6397 0
2081 2081 0
4556 4556 0
4592 4592 0
3592 3592 0
267 267 0
4632 4632 0
579 579 0
9117 9117 0
3282 3282 0
7145 7145 0
4095 4095 0
699 699 0
6882 6882 0
7349 7349 0
1200 1200 0
3067 3067 0
3549 3549 0
6544 6544 0
1503 1503 0
3715 3715 0
5892 5892 0
5948 5948 0
2437 2437 0
5163 5163 0
236 236 0
8236 8236 0
5884 5884 0
4315 4315 0
3747 3747 0
988 988 0
932 932 0
3728 3728 0
7463 7463 0
8087 8087 0
3342 3342 0
7659 7659 0
3334 3334 0
1639 1639 0
8936 8936 0
481 481 0
9057 9057 0
1894 1894 0
4890 4890 0
5890 5890 0
5391 5391 0
6771 6771 0
869 869 0
5685 5685 0
4016 4016 0
981 981 0
6344 6344 0
6564 6564 0
4026 4026 0
4336 4336 0
4249 4249 0
642 642 0
7573 7573 0
6186 6186 0
8719 8719 0
1023 1023 0
3063 3063 0
6183 6183 0
6932 6932 0
8068 8068 0
1602 1602 0
2551 2551 0
7999 7999 0
8661 8661 0
7257 7257 0
2009 2009 0
6749 6749 0
1121 1121 0
4947 4947 0
4204 4204 0
7191 7191 0
284 284 0
9159 9159 0
3178 3178 0
6038 6038 0
75 75 0
2126 2126 0
6869 6869 0
7137 7137 0
3673 3673 0
6745 6745 0
8953 8953 0
1520 1520 0
3233 3233 0
8240 8240 0
6994 6994 0
5970 5970 0
970 970 0
5348 5348 0
1909 1909 0
3843 3843 0
1021 1021 0
257 257 0
172 172 0
8138 8138 0
5111 5111 0
5511 5511 0
8946 8946 0
849 849 0
6768 6768 0
9049 9049 0
5332 5332 0
618 618 0
4442 4442 0
814 814 0
7632 7632 0
3629 3629 0
4112 4112 0
7630 7630 0
1645 1645 0
3066 3066 0
1957 1957 0
1769 1769 0
7417 7417 0
7600 7600 0
962 962 0
3489 3489 0
3813 3813 0
1347 1347 0
5500 5500 0
5366 5366 0
1869 1869 0
473 473 0
5767 5767 0
3061 3061 0
7096 7096 0
4290 4290 0
6681 6681 0
5060 5060 0
5780 5780 0
4291 4291 0
6656 6656 0
8729 8729 0
5512 5512 0
7685 7685 0
4967 4967 0
1013 1013 0
7875 7875 0
1741 1741 0
51 51 0
5670 5670 0
6174 6174 0
2517 2517 0
7805 7805 0
3425 3425 0
8658 8658 0
9028 9028 0
4274 4274 0
3442 3442 0
6953 6953 0
9043 9043 0
7819 7819 0
32 32 0
7423 7423 0
1065 1065 0
731 731 0
4020 4020 0
2116 2116 0
7283 7283 0
3157 3157 0
916 916 0
2403 2403 0
4772 4772 0
6797 6797 0
6192 6192 0
3937 3937 0
7669 7669 0
8867 8867 0
8939 8939 0
1114 1114 0
5096 5096 0
7064 7064 0
2188 2188 0
4706 4706 0
7428 7428 0
5170 5170 0
5681 5681 0
8756 8756 0
2060 2060 0
6009 6009 0
3150 3150 0
8147 8147 0
1632 1632 0
3621 3621 0
7460 7460 0
7929 7929 0
947 947 0
3584 3584 0
4177 4177 0
5276 5276 0
5034 5034 0
8301 8301 0
1461 1461 0
3754 3754 0
6179 6179 0
4954 4954 0
7861 7861 0
4690 4690 0
4317 4317 0
72 72 0
6333 6333 0
8702 8702 0
4948 4948 0
3687 3687 0
5877 5877 0
1232 1232 0
4588 4588 0
4371 4371 0
6209 6209 0
7877 7877 0
4062 4062 0
1599 1599 0
8079 8079 0
6841 6841 0
2564 2564 0
8710 8710 0
1491 1491 0
7406 7406 0
6039 6039 0
8034 8034 0
7475 7475 0
2740 2740 0
2297 2297 0
6877 6877 0
8981 8981 0
4428 4428 0
1841 1841 0
3582 3582 0
1399 1399 0
1752 1752 0
7845 7845 0
7347 7347 0
4896 4896 0
3736 3736 0
739 739 0
8561 8561 0
4843 4843 0
6092 6092 0
8512 8512 0
4658 4658 0
299 299 0
5117 5117 0
6394 6394 0
1969 1969 0
5464 5464 0
4957 4957 0
4446 4446 0
